ID,Date,Element,Data_Value
SZ000008440,2007-10-19,TMIN,54
SZ000008440,2007-10-19,TMAX,125
SZ000008440,2011-02-05,TMAX,117
SZ000008440,2015-06-15,TMAX,215
SZ000008440,2015-06-15,TMIN,159
SZ000008440,2006-07-04,TMAX,308
SZ000008440,2011-05-30,TMAX,300
SZ000008440,2009-10-05,TMIN,56
SZ000008440,2014-08-10,TMIN,174
SZ000008440,2012-05-13,TMIN,67
SZ000008440,2010-09-04,TMAX,245
SZ000008440,2010-08-06,TMIN,98
SZ000008440,2012-05-13,TMAX,158
SZ000008440,2010-09-04,TMIN,109
SZ000008440,2015-07-20,TMIN,193
SZ000008440,2015-07-20,TMAX,326
SZ000008440,2007-11-28,TMAX,51
SZ000008440,2014-02-14,TMIN,24
SZ000008440,2013-08-02,TMIN,169
SZ000008440,2013-08-02,TMAX,327
SZ000008440,2012-12-21,TMAX,74
SZ000008440,2006-04-20,TMAX,198
SZ000008440,2006-04-20,TMIN,58
SZ000008440,2006-10-10,TMAX,195
SZ000008440,2009-12-28,TMIN,-3
SZ000008440,2010-07-14,TMIN,190
SZ000008440,2015-03-20,TMAX,135
SZ000008440,2012-04-27,TMAX,212
SZ000008440,2006-10-10,TMIN,80
SZ000008440,2014-11-26,TMAX,110
SZ000008440,2014-11-26,TMIN,94
SZ000008440,2013-02-04,TMAX,56
SZ000008440,2012-04-27,TMIN,59
SZ000008440,2009-12-23,TMAX,59
SZ000008440,2006-07-04,TMIN,187
SZ000008440,2009-05-09,TMIN,113
SZ000008440,2011-05-27,TMIN,86
SZ000008440,2010-10-18,TMIN,19
SZ000008440,2007-02-01,TMAX,51
SZ000008440,2005-03-28,TMIN,85
SZ000008440,2005-04-12,TMIN,33
SZ000008440,2010-04-07,TMIN,34
SZ000008440,2013-07-31,TMIN,137
SZ000008440,2005-04-12,TMAX,126
SZ000008440,2007-01-17,TMIN,68
SZ000008440,2013-12-20,TMIN,13
SZ000008440,2005-10-05,TMAX,166
SZ000008440,2007-01-12,TMAX,123
SZ000008440,2007-01-12,TMIN,12
SZ000008440,2013-12-20,TMAX,60
SZ000008440,2010-01-12,TMAX,-15
SZ000008440,2009-07-09,TMAX,232
SZ000008440,2005-06-23,TMAX,335
SZ000008440,2015-05-17,TMAX,208
SZ000008440,2013-07-31,TMAX,276
SZ000008440,2005-10-05,TMIN,88
SZ000008440,2013-08-01,TMIN,154
SZ000008440,2013-12-13,TMAX,1
SZ000008440,2013-12-13,TMIN,-21
SZ000008440,2008-08-01,TMIN,156
SZ000008440,2014-04-16,TMIN,45
SZ000008440,2010-01-02,TMAX,17
SZ000008440,2006-01-13,TMAX,9
SZ000008440,2008-12-16,TMIN,-38
SZ000008440,2007-02-01,TMIN,2
SZ000008440,2005-06-25,TMAX,292
SZ000008440,2012-11-05,TMAX,111
SZ000008440,2008-12-01,TMAX,48
SZ000008440,2013-07-30,TMIN,146
SZ000008440,2013-07-30,TMAX,263
SZ000008440,2008-06-09,TMIN,115
SZ000008440,2010-08-06,TMAX,218
SZ000008440,2015-07-02,TMIN,196
SZ000008440,2006-09-08,TMAX,217
SZ000008440,2008-03-17,TMIN,61
SZ000008440,2010-10-12,TMAX,149
SZ000008440,2015-07-02,TMAX,353
SZ000008440,2005-03-28,TMAX,159
SZ000008440,2014-10-01,TMAX,219
SZ000008440,2005-06-07,TMAX,212
SZ000008440,2008-03-17,TMAX,89
SZ000008440,2008-06-01,TMAX,203
SZ000008440,2008-10-30,TMIN,26
SZ000008440,2008-10-30,TMAX,71
SZ000008440,2010-04-07,TMAX,152
SZ000008440,2010-01-02,TMIN,-61
SZ000008440,2007-10-18,TMAX,147
SZ000008440,2009-05-03,TMAX,197
SZ000008440,2007-01-17,TMAX,126
SZ000008440,2007-07-01,TMIN,131
SZ000008440,2008-12-16,TMAX,17
SZ000008440,2011-11-03,TMIN,91
SZ000008440,2010-04-10,TMAX,158
SZ000008440,2012-10-26,TMAX,129
SZ000008440,2012-10-26,TMIN,104
SZ000008440,2006-01-23,TMAX,18
SZ000008440,2005-08-13,TMIN,141
SZ000008440,2012-12-25,TMIN,87
SZ000008440,2012-12-25,TMAX,128
SZ000008440,2010-01-06,TMAX,11
SZ000008440,2014-09-30,TMIN,150
SZ000008440,2009-12-25,TMIN,-25
SZ000008440,2011-04-04,TMIN,49
SZ000008440,2008-02-20,TMIN,-28
SZ000008440,2009-07-12,TMIN,145
SZ000008440,2011-04-04,TMAX,165
SZ000008440,2014-09-29,TMAX,194
SZ000008440,2011-08-12,TMAX,243
SZ000008440,2009-12-25,TMAX,102
SZ000008440,2011-08-12,TMIN,128
SZ000008440,2014-05-24,TMAX,210
SZ000008440,2013-08-15,TMIN,119
SZ000008440,2010-04-15,TMIN,35
SZ000008440,2014-09-13,TMIN,109
SZ000008440,2013-08-15,TMAX,243
SZ000008440,2011-04-05,TMIN,25
SZ000008440,2009-05-01,TMIN,50
SZ000008440,2008-06-01,TMIN,138
SZ000008440,2015-11-22,TMIN,-19
SZ000008440,2010-04-10,TMIN,56
SZ000008440,2014-09-30,TMAX,190
SZ000008440,2010-07-15,TMAX,304
SZ000008440,2011-10-24,TMIN,28
SZ000008440,2013-07-28,TMIN,192
SZ000008440,2013-08-01,TMAX,316
SZ000008440,2012-05-08,TMIN,52
SZ000008440,2009-12-29,TMIN,9
SZ000008440,2007-06-27,TMAX,162
SZ000008440,2015-01-27,TMIN,-18
SZ000008440,2010-01-12,TMIN,-35
SZ000008440,2009-12-29,TMAX,98
SZ000008440,2015-10-25,TMAX,167
SZ000008440,2011-11-03,TMAX,127
SZ000008440,2011-01-30,TMAX,-4
SZ000008440,2007-05-09,TMAX,205
SZ000008440,2007-05-09,TMIN,106
SZ000008440,2011-08-03,TMIN,175
SZ000008440,2011-10-24,TMAX,123
SZ000008440,2015-05-17,TMIN,86
SZ000008440,2014-09-13,TMAX,210
SZ000008440,2009-05-01,TMAX,187
SZ000008440,2006-05-07,TMIN,116
SZ000008440,2005-08-13,TMAX,251
SZ000008440,2008-02-20,TMAX,84
SZ000008440,2009-07-10,TMIN,96
SZ000008440,2015-06-04,TMIN,140
SZ000008440,2015-01-27,TMAX,47
SZ000008440,2006-10-02,TMAX,223
SZ000008440,2013-07-28,TMAX,300
SZ000008440,2006-05-07,TMAX,173
SZ000008440,2011-05-22,TMAX,264
SZ000008440,2014-11-20,TMIN,16
SZ000008440,2014-11-20,TMAX,103
SZ000008440,2012-04-11,TMIN,47
SZ000008440,2012-04-11,TMAX,119
SZ000008440,2013-04-05,TMIN,43
SZ000008440,2012-04-19,TMIN,54
SZ000008440,2012-04-14,TMAX,94
SZ000008440,2006-09-08,TMIN,170
SZ000008440,2011-05-06,TMAX,246
SZ000008440,2009-07-09,TMIN,117
SZ000008440,2014-03-22,TMAX,120
SZ000008440,2010-04-14,TMIN,-4
SZ000008440,2005-01-12,TMAX,75
SZ000008440,2012-04-14,TMIN,59
SZ000008440,2014-07-07,TMAX,221
SZ000008440,2008-06-11,TMIN,135
SZ000008440,2014-01-12,TMAX,68
SZ000008440,2010-01-17,TMIN,-7
SZ000008440,2005-09-23,TMAX,236
SZ000008440,2010-01-17,TMAX,87
SZ000008440,2005-06-23,TMIN,207
SZ000008440,2014-01-12,TMIN,-6
SZ000008440,2012-05-22,TMIN,99
SZ000008440,2015-10-25,TMIN,64
SZ000008440,2010-07-15,TMIN,193
SZ000008440,2006-04-30,TMAX,150
SZ000008440,2005-09-23,TMIN,71
SZ000008440,2012-04-19,TMAX,114
SZ000008440,2015-08-01,TMIN,153
SZ000008440,2011-11-04,TMIN,87
SZ000008440,2011-05-22,TMIN,121
SZ000008440,2013-04-02,TMAX,110
SZ000008440,2010-04-14,TMAX,146
SZ000008440,2011-10-27,TMIN,32
SZ000008440,2009-07-29,TMAX,320
SZ000008440,2005-05-20,TMIN,77
SZ000008440,2011-11-04,TMAX,117
SZ000008440,2005-11-01,TMAX,180
SZ000008440,2007-11-23,TMAX,92
SZ000008440,2014-05-11,TMIN,74
SZ000008440,2005-11-01,TMIN,63
SZ000008440,2005-12-28,TMIN,-96
SZ000008440,2011-05-04,TMAX,178
SZ000008440,2009-01-18,TMAX,68
SZ000008440,2009-01-18,TMIN,-44
SZ000008440,2013-03-02,TMAX,28
SZ000008440,2007-01-11,TMAX,135
SZ000008440,2005-12-28,TMAX,-34
SZ000008440,2007-01-26,TMIN,-94
SZ000008440,2007-11-23,TMIN,64
SZ000008440,2014-05-23,TMIN,100
SZ000008440,2014-05-23,TMAX,206
SZ000008440,2015-12-12,TMIN,-33
SZ000008440,2007-01-26,TMAX,-14
SZ000008440,2010-08-08,TMAX,276
SZ000008440,2012-05-22,TMAX,170
SZ000008440,2007-07-01,TMAX,252
SZ000008440,2008-06-08,TMAX,188
SZ000008440,2011-04-05,TMAX,170
SZ000008440,2006-02-18,TMIN,6
SZ000008440,2005-06-07,TMIN,113
SZ000008440,2013-12-10,TMAX,15
SZ000008440,2009-03-06,TMIN,16
SZ000008440,2012-11-05,TMIN,51
SZ000008440,2013-04-05,TMAX,116
SZ000008440,2005-06-25,TMIN,185
SZ000008440,2005-02-15,TMAX,18
SZ000008440,2013-12-23,TMAX,113
SZ000008440,2009-05-09,TMAX,241
SZ000008440,2005-05-20,TMAX,244
SZ000008440,2008-06-09,TMAX,238
SZ000008440,2005-12-29,TMIN,-102
SZ000008440,2008-06-08,TMIN,121
SZ000008440,2014-06-29,TMAX,206
SZ000008440,2012-10-29,TMAX,62
SZ000008440,2012-05-27,TMIN,112
SZ000008440,2014-06-29,TMIN,119
SZ000008440,2012-05-27,TMAX,258
SZ000008440,2006-04-25,TMIN,101
SZ000008440,2015-06-29,TMAX,294
SZ000008440,2014-03-20,TMIN,33
SZ000008440,2013-12-10,TMIN,-66
SZ000008440,2015-03-28,TMIN,-5
SZ000008440,2010-01-09,TMAX,-16
SZ000008440,2009-05-03,TMIN,82
SZ000008440,2010-01-09,TMIN,-44
SZ000008440,2006-02-18,TMAX,91
SZ000008440,2014-03-21,TMIN,96
SZ000008440,2012-10-29,TMIN,-12
SZ000008440,2008-12-18,TMAX,40
SZ000008440,2012-05-04,TMAX,236
SZ000008440,2009-03-06,TMAX,41
SZ000008440,2012-05-04,TMIN,87
SZ000008440,2015-05-14,TMAX,246
SZ000008440,2015-05-14,TMIN,101
SZ000008440,2014-10-01,TMIN,119
SZ000008440,2009-05-05,TMAX,163
SZ000008440,2009-09-04,TMIN,104
SZ000008440,2014-03-21,TMAX,192
SZ000008440,2013-12-19,TMIN,-6
SZ000008440,2015-03-28,TMAX,121
SZ000008440,2007-01-30,TMIN,-72
SZ000008440,2006-04-30,TMIN,3
SZ000008440,2014-05-11,TMAX,177
SZ000008440,2010-11-03,TMAX,158
SZ000008440,2014-10-02,TMAX,202
SZ000008440,2013-12-19,TMAX,80
SZ000008440,2006-04-25,TMAX,193
SZ000008440,2008-12-01,TMIN,7
SZ000008440,2014-10-02,TMIN,113
SZ000008440,2007-01-30,TMAX,53
SZ000008440,2015-08-01,TMAX,195
SZ000008440,2010-09-29,TMIN,34
SZ000008440,2014-03-20,TMAX,189
SZ000008440,2014-07-07,TMIN,154
SZ000008440,2011-08-01,TMIN,116
SZ000008440,2015-10-03,TMAX,159
SZ000008440,2010-08-30,TMAX,172
SZ000008440,2015-06-16,TMAX,223
SZ000008440,2014-06-27,TMIN,125
SZ000008440,2014-06-27,TMAX,273
SZ000008440,2010-04-08,TMIN,70
SZ000008440,2014-02-21,TMAX,82
SZ000008440,2011-08-17,TMAX,289
SZ000008440,2009-09-27,TMAX,220
SZ000008440,2006-05-02,TMIN,83
SZ000008440,2014-01-10,TMIN,16
SZ000008440,2006-05-02,TMAX,225
SZ000008440,2011-08-17,TMIN,143
SZ000008440,2005-01-01,TMAX,65
SZ000008440,2013-12-15,TMAX,13
SZ000008440,2013-04-06,TMIN,58
SZ000008440,2014-02-07,TMIN,15
SZ000008440,2011-10-26,TMIN,38
SZ000008440,2011-10-26,TMAX,141
SZ000008440,2009-05-11,TMIN,121
SZ000008440,2013-08-27,TMIN,117
SZ000008440,2013-08-27,TMAX,219
SZ000008440,2010-11-14,TMIN,76
SZ000008440,2009-12-24,TMAX,46
SZ000008440,2009-05-11,TMAX,227
SZ000008440,2010-05-29,TMIN,95
SZ000008440,2007-05-14,TMAX,185
SZ000008440,2014-02-20,TMIN,8
SZ000008440,2011-08-04,TMAX,273
SZ000008440,2011-08-04,TMIN,164
SZ000008440,2009-05-10,TMAX,215
SZ000008440,2011-08-02,TMAX,291
SZ000008440,2009-05-10,TMIN,104
SZ000008440,2009-12-24,TMIN,25
SZ000008440,2008-08-16,TMIN,103
SZ000008440,2013-08-22,TMIN,109
SZ000008440,2014-08-12,TMIN,121
SZ000008440,2005-12-09,TMAX,47
SZ000008440,2015-08-02,TMAX,258
SZ000008440,2005-01-01,TMIN,-11
SZ000008440,2013-04-13,TMAX,182
SZ000008440,2008-06-04,TMIN,139
SZ000008440,2015-06-16,TMIN,160
SZ000008440,2014-11-30,TMAX,73
SZ000008440,2014-11-30,TMIN,56
SZ000008440,2012-11-09,TMIN,25
SZ000008440,2012-11-09,TMAX,121
SZ000008440,2007-01-22,TMAX,55
SZ000008440,2013-04-13,TMIN,53
SZ000008440,2012-04-21,TMIN,66
SZ000008440,2005-12-14,TMAX,21
SZ000008440,2013-12-15,TMIN,-18
SZ000008440,2005-01-24,TMIN,-66
SZ000008440,2006-10-05,TMIN,60
SZ000008440,2005-04-28,TMAX,206
SZ000008440,2011-10-28,TMAX,145
SZ000008440,2005-01-24,TMAX,10
SZ000008440,2010-08-30,TMIN,108
SZ000008440,2014-11-29,TMAX,77
SZ000008440,2015-07-19,TMIN,205
SZ000008440,2015-07-19,TMAX,337
SZ000008440,2013-08-22,TMAX,259
SZ000008440,2012-11-04,TMIN,80
SZ000008440,2007-01-22,TMIN,12
SZ000008440,2005-12-09,TMIN,9
SZ000008440,2014-02-20,TMAX,123
SZ000008440,2015-09-06,TMAX,195
SZ000008440,2010-05-29,TMAX,236
SZ000008440,2015-09-06,TMIN,73
SZ000008440,2008-02-09,TMIN,-36
SZ000008440,2012-04-21,TMAX,156
SZ000008440,2006-08-13,TMIN,106
SZ000008440,2015-08-02,TMIN,142
SZ000008440,2015-06-04,TMAX,302
SZ000008440,2008-12-18,TMIN,-16
SZ000008440,2011-11-06,TMIN,47
SZ000008440,2007-02-04,TMIN,-23
SZ000008440,2006-08-13,TMAX,153
SZ000008440,2008-04-11,TMAX,112
SZ000008440,2014-07-06,TMIN,157
SZ000008440,2012-04-15,TMAX,84
SZ000008440,2014-11-24,TMAX,109
SZ000008440,2014-07-06,TMAX,302
SZ000008440,2007-02-04,TMAX,69
SZ000008440,2010-07-04,TMAX,293
SZ000008440,2014-08-09,TMAX,272
SZ000008440,2013-03-06,TMAX,89
SZ000008440,2007-08-12,TMAX,268
SZ000008440,2007-05-14,TMIN,82
SZ000008440,2007-06-30,TMAX,252
SZ000008440,2015-09-02,TMAX,221
SZ000008440,2007-06-26,TMAX,164
